;;;
;;;;R.SOCIAL.: G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA -  CNPJ.: 20947332/0004-38 END.: RUA HELENA FERRANTE BORGHI, 100 - DISTRITO INDUSTRIAL CIDADE.: PRESIDENTEPRUDENTE - SP TELEFONE: 1821010101 IE: 562407492115 / WWW.SELETIVA.IND.BR DATA. : 18/06/2026 HORA.: 13:44:25-IMPRESSO POR:JULIO.SANTANA;;;;;;;;;;
;;;;Relação de Centro de Custo;;;;;;;;;;;
;;;;;;;;;;;;;;

Tipo;
;;Código;;;;;;;Descrição;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;

1.2.5.7.8           ;EHH0009                                                                                            ;;ANALÍTICO ;

1.2.5.7.9           ;CHF0016                                                                                            ;;ANALÍTICO ;

1.2.5.7.10          ;EHH0007                                                                                            ;;ANALÍTICO ;

1.2.5.7.11          ;EWU6143                                                                                            ;;ANALÍTICO ;

1.2.5.7.12          ;EPT0024 (EMPILHADEIRA)                                                                             ;;ANALÍTICO ;

1.2.5.7.13          ;EHH0005                                                                                            ;;ANALÍTICO ;

1.2.5.8             ;PROJETO SISTEMA DE INCENDIO                                                                        ;;ANALÍTICO ;

1.2.6               ;ASSIS                                                                                              ;;SINTÉTICO ;

1.2.6.1             ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.2.6.2             ;COMERCIAL                                                                                          ;;ANALÍTICO ;

1.2.6.3             ;OPERACIONAL                                                                                        ;;ANALÍTICO ;

1.2.6.4             ;LOGISTICA                                                                                          ;;ANALÍTICO ;

1.2.7               ;CAMPO GRANDE                                                                                       ;;SINTÉTICO ;

1.2.7.1             ;ADMINISTRATIVO                                                                                     ;;ANALÍTICO ;

1.2.7.2             ;COMERCIAL                                                                                          ;;ANALÍTICO ;

1.2.7.3             ;OPERACIONAL                                                                                        ;;ANALÍTICO ;

1.2.7.4             ;LOGISTICA                                                                                          ;;ANALÍTICO ;

1.2.7.5             ;PROJETO CORUMBA                                                                                    ;;ANALÍTICO ;

