;
;;R.SOCIAL.: G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA -  CNPJ.: 20947332/0004-38 END.: RUA HELENA FERRANTE BORGHI, 100 - DISTRITO INDUSTRIAL CIDADE.: PRESIDENTEPRUDENTE - SP TELEFONE: 1821010101 IE: 562407492115 / WWW.SELETIVA.IND.BR DATA. : 27/04/2026 HORA.: 08:26:04-IMPRESSO POR:JULIO.SANTANA;;;;;;;
;;Relação de Plano de Contas - Por Ordem de Conta;;;;;;;;
;;;;;;;;

;Código;;;;;Descrição;;;C/D;;% Aplic.

7.5.33;ALUGUEL VAGA GARAGEM;;;D;0,00

7.5.34;MOVEIS E ELETRODOMESTICOS;;;D;0,00

7.5.35;RATEIO SELETIVA APOIO;;;D;0,00

7.5.36;RATEIO PILARES;;;D;0,00

7.6;OPERACIONAL PATIO;;;D;0,00

7.6.1;GÁS – GLP COPA;;;D;0,00

7.6.2;FERRAMENTAS;;;D;0,00

7.6.3;MANUTENÇÃO PATIO;;;D;0,00

7.6.5;IPTU PATIO;;;D;0,00

7.7;REFORMAS;;;D;0,00

7.7.1;SERVIÇOS CONTRATADOS;;;D;0,00

7.7.2;MATERIAL PARA REFORMA;;;D;0,00

7.8;ADIANTAMENTO A CREDOR;;;D;0,00

7.8.1;ADIANTAMENTO A CREDOR;;;D;0,00

7.8.2;DEVOLUÇÃO DE ADIANTAMENTO A CREDOR;;;R;0,00

7.9;DEVOLUÇÃO A CREDOR;;;R;0,00

7.9.1;DEVOLUÇÃO A CREDOR;;;R;0,00

7.11;OUTRAS DESPESAS;;;D;0,00

7.11.1;OPERAÇÕES ENTRE EMPRESAS;;;D;0,00

7.11.2;PAGAMENTOS PARA SÓCIOS (DISTRIB);;;D;0,00

7.11.3;AJUSTE COMPENSAÇÕES DE CHEQUES;;;D;0,00

7.11.4;ACERTOS PARTICULARES;;;D;0,00

7.11.5;RECARGAS;;;D;0,00

7.11.6;DESPESAS GERAIS PARTICULAR;;;D;0,00

7.11.7;EMPRESTIMOS;;;D;0,00

7.12;FINANCEIRA;;;D;0,00

7.12.1;VARIACAO CAMBIAL PASSIVA;;;D;0,00

7.12.2;PREJUIZO COM APLICAÇÕES;;;D;0,00

7.12.3;BANCO TRANSFERENCIA SAIDA;;;D;0,00

7.12.4;AJUSTE DE BAIXAS SEM PAGAMENTO;;;D;0,00

8;AQUISIÇÕES;;;;0,00

8.1;AQUISIÇÃO DE ATIVO IMOBILIZADO;;;D;0,00

8.1.1;VEÍCULOS;;;D;0,00

;;;;;;;

www.sygecom.com.br - relatorios\sagi_listacdc7.fr3;;;Página: 5 / 6;;;;
8.1.2;;MAQUINAS E EQUIPAMENTOS;;;D;0,00;

8.1.3;;MÓVEIS;;;D;0,00;

8.1.4;;COMPUTADORES E PERIFERICOS;;;D;0,00;

8.1.5;;INSTALAÇÕES;;;D;0,00;

8.1.6;;ELETRÔNICOS;;;D;0,00;

8.2;;AQUISIÇÃO DE IMÓVEIS;;;D;0,00;

8.2.1;;RESIDENCIAL;;;D;0,00;

8.2.2;;COMERCIAL;;;D;0,00;

8.2.3;;TERRENO SEM CONSTRUÇÃO;;;D;0,00;

8.3;;DESPESAS COM AQUISIÇÃO DE IMÓVEIS;;;D;0,00;

8.3.1;;ITBI;;;D;0,00;

8.3.2;;ESCRITURA;;;D;0,00;

8.3.3;;REGISTRO;;;D;0,00;

8.3.4;;COMISSÃO DE CORRETORES;;;D;0,00;

8.4;;CONSORCIO;;;D;0,00;

9;;IMOBILIARIA;;;;0,00;

9.2;;DESPESAS IMOBILIÁRIAS;;;D;0,00;

9.2.1;;IPTU;;;D;0,00;

9.2.2;;ITR;;;D;0,00;

9.2.3;;ENGENHEIROS E ARQUITETOS;;;D;0,00;

9.2.4;;TOPOGRAFIA;;;D;0,00;

9.2.5;;TAXA DE ADMINISTRACAO DE IMOVEIS;;;D;0,00;

9.2.6;;CONDOMINIO;;;D;0,00;

9.2.7;;OUTROS PRESTADORES DE SERVIÇOS;;;D;0,00;

9.2.8;;DESPESAS COM IMÓVEIS DESOCUPADOS;;;D;0,00;

10;;;;;;0,00;

;;;;;;;;;

Nº Total de Contas Cadastradas: 239;;;;;;;;;

;;;;;;;;;

www.sygecom.com.br - relatorios\sagi_listacdc7.fr3;;;;Página: 6 / 6;;;;;
